images,mtype,name,package_volume,price,sku,subtype,type,volume,weight
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076855000083.jpeg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076855000083.jpeg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00076855000083.jpg']",household/toys-games/outdoor-fun/pools,Apex Swimmers Nose Clip,2.75 inchesx1.29 inchesx6.25 inches,3.49,0233623,pools,household,1 inchesx0.5 inchesx17 inches,0.1 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/0/00754502029884_1.jpg']",household/toys-games/outdoor-fun/more-outdoor-fun,As Seen on TV Rocket Copters - Slingshot LED Helicopter Toy for Kids,3.25 inchesx7.25 inchesx9.75 inches,9.99,0378015,more-outdoor-fun,household,7.2 inchesx3.28 inchesx9.72 inches,4.48 oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666082216.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003558-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666082216.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,Miracle Bubbles Miracle Bubbles 8 fl oz (236.57 ml),NonexNonexNone,1.49,8003558,chalk-bubbles,household,2.1 inchesx5.1 inchesx2.15 inches,8 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666084784.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003607-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666084784.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,"Miracle Bubbles Bubble Fun, 6 in 1 4 fl oz (118.28 ml)",NonexNonexNone,3.49,8003607,chalk-bubbles,household,6.45 inchesx8.9 inchesx1.85 inches,4 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666081653.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/8/0/8003559-1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/076666081653.jpg']",household/toys-games/outdoor-fun/chalk-bubbles,Miracle Bubbles Bubbles 16 fl oz (473.15 ml),NonexNonexNone,2.69,8003559,chalk-bubbles,household,2.75 inchesx7.2 inchesx2.75 inches,16 fluid oz
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/4/746775043155.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085_1.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084927085_2.jpg']",household/toys-games/dolls,"Barbie Doll, A Mermaid Tale",NonexNonexNone,11.49,0335074,dolls,household,4 inchesx4 inchesx4 inches,0.375 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084859393.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/2/027084859393.jpg']",household/toys-games/building-blocks-set,"Thomas & Friends, Assorted",NonexNonexNone,,0329748,building-blocks-set,household,5.35 inchesx6.55 inchesx2 inches,0.3167 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754260038.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754260038.jpg']",household/toys-games/board-games-cards,"Cardinal Dominoes, Disney Pixar Cars 2",NonexNonexNone,,0360160,board-games-cards,household,4.7 x1.9 x7.6 ,1.35 lb
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754202007.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754202007.jpg']",household/toys-games/board-games-cards,Jumbling Tower Game,NonexNonexNone,9.99,0370888,board-games-cards,household,3.31 inchesx3.31 inchesx10.63 inches,1.69 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692660.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692660.jpg']",household/toys-games/board-games-cards,Eye Know Trivia Card Game,NonexNonexNone,9.99,0379302,board-games-cards,household,3.74 inchesx2.76 inchesx8 inches,1 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754931761.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754931761.jpg']",household/toys-games/board-games-cards,"Copy That Face Card Game, Jumbo",NonexNonexNone,7.99,0371193,board-games-cards,household,3.58 inchesx0.79 inchesx6.14 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692714.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988692714.jpg']",household/toys-games/board-games-cards,Urban Myth Game,NonexNonexNone,9.99,0379303,board-games-cards,household,3.8 inchesx2.75 inchesx8 inches,1.77 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988693285.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988693285.jpg']",household/toys-games/board-games-cards,The Awesome Game of Meme,NonexNonexNone,9.99,0379304,board-games-cards,household,3.94 inchesx2.9 inchesx8 inches,1.52 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754134209.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/4/047754134209.jpg']",household/toys-games/board-games-cards,"Poker Chip Set, 11.5g - 100 ct",NonexNonexNone,,8015367,board-games-cards,household,3.4 inchesx8.5 inchesx2 inches,2.55 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988716052.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/7/7/778988716052.jpg']",household/toys-games/board-games-cards,Classic Series Password Word Association Game,NonexNonexNone,9.99,0379305,board-games-cards,household,3.8 inchesx2.75 inchesx8 inches,0.8 lbs
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021736.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021736.jpg']",household/toys-games/board-games-cards,Hoyle Plastic Playing Cards,NonexNonexNone,4.99,8018634,board-games-cards,household,2.56 inchesx0.81 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024232.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024232.jpg']",household/toys-games/board-games-cards,Bicycle Licensed Cards,NonexNonexNone,4.49,8021775,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001066.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001066.jpg']",household/toys-games/board-games-cards,Bicycle Dice - 5 ct,NonexNonexNone,3.49,8018252,board-games-cards,household,2.56 inchesx0.63 inchesx3.5 inches,5 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854023181.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854023181.jpg']",household/toys-games/board-games-cards,Bicycle Stargazer Playing Cards,NonexNonexNone,4.99,0379367,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024300.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854024300.jpg']",household/toys-games/board-games-cards,Bicycle Specialty Playing Cards,NonexNonexNone,4.49,8021774,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001257.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854001257.jpg']",household/toys-games/board-games-cards,Bicycle EZ See Playing Cards,NonexNonexNone,4.49,8018253,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021781.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021781.jpg']",household/toys-games/board-games-cards,Astra RA Poker Playing Cards,NonexNonexNone,2.99,8018767,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021798.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/0/7/073854021798.jpg']",household/toys-games/board-games-cards,Astra RA Jumbo Playing Cards,NonexNonexNone,2.99,8018768,board-games-cards,household,2.56 inchesx0.69 inchesx3.63 inches,1 count
"['https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251_2.jpg', 'https://www.riteaid.com/shop/media/catalog/product/cache/1/image/600x410/17f82f742ffe127f42dca9de82fb58b1/6/3/632468005251_3.jpg']",household/toys-games/board-games-cards,Endless Games The Floor is Lava Game - 1 ct,NonexNonexNone,19.99,0378341,board-games-cards,household,10.5 inchesx2.38 inchesx10.5 inches,1.19 lbs
